prompt_id,prompt,gold_agents,template_id
1,Help me extract API data for power output during yesterday.,APIDataFetchAgent|TimeSeriesQueryAgent,26
2,I need you to list columns and schema for the transactions dataset.,MetadataLookupAgent,36
3,Can you filter the energy table where wind speed > A17?,SQLQueryAgent,35
4,Can you compute mean and variance for the past 168 days of temperature?,StatisticalAnalysisAgent,4
5,Can you summarize what happened in power output during the last 24 hours?,SummaryAgent,9
6,Help me what columns exist in the system_events dataset?. and draft a short report.,MetadataLookupAgent,3
7,not urgent: Help me retrieve latency from internal data warehouse for the last 30 days.,TimeSeriesQueryAgent,33
8,Can you compute median and std dev for throughput over the last 24 hours? and write a brief summary.,StatisticalAnalysisAgent,40
9,Fetch wind speed data for the last 168 hours,TimeSeriesQueryAgent|APIDataFetchAgent,0
10,Help me run a SQL query to find latency rows with value 1023.,SQLQueryAgent,34
11,Can you fetch logs for frontend with error code A17?,LogRetrievalAgent,38
12,Help me check if throughput has outliers in the last 30 days.,AnomalyDetectionAgent,19
13,asap: Can you generate a report with charts for latency in this week?,ReportWriterAgent|PlotGenerationAgent,21
14,for the weekly review: Can you filter the weather table where turbine RPM > TX-8821?,SQLQueryAgent,35
15,Help me forecast error rate for tomorrow and summarize risks. and write a brief summary.,ForecastAgent|SummaryAgent,18
16,Can you pull recent logs related to system reliability? and add a dashboard view.,LogRetrievalAgent,2
17,asap: Summarize what happened in temperature during today and set an alert if it changes.,SummaryAgent,9
18,Give me a quick sanity check on the wind energy output numbers for the past 7 days,StatisticalAnalysisAgent|SummaryAgent,16
19,Please get temperature for this month and detect trend visually. and add a dashboard view.,TimeSeriesQueryAgent|PlotGenerationAgent|TrendAnalysisAgent,15
20,Paginate the sensors/stream API to collect turbine RPM records,APIDataFetchAgent,30
21,Help me write a concise report of power output behavior in today.,ReportWriterAgent|SummaryAgent,27
22,btw: Please list columns and schema for the sensor_streams dataset. and write a brief summary.,MetadataLookupAgent,36
23,Help me extract API data for throughput during today.,APIDataFetchAgent|TimeSeriesQueryAgent,26
24,I need you to plot wind speed for last week. and draft a short report.,PlotGenerationAgent,8
25,Help me fetch error rate for yesterday and describe the trend. and write a brief summary.,TimeSeriesQueryAgent|TrendAnalysisAgent,14
26,Forecast wind energy output for tomorrow and summarize risks and set an alert if it changes.,ForecastAgent|SummaryAgent,18
27,I need you to trace anomalies and then draft a brief report for this month.,AnomalyDetectionAgent|ReportWriterAgent,17
28,FYI: Help me retrieve logs and summarize errors for ETL job.,LogRetrievalAgent|SummaryAgent,13
29,Please predict temperature for next 2 weeks.,ForecastAgent,7
30,Help me paginate the sensors/stream API to collect turbine RPM records.,APIDataFetchAgent,30
31,not urgent: Can you plot and summarize power output for today? and include a quick chart.,PlotGenerationAgent|SummaryAgent,12
32,Help me give me a quick sanity check on the wind speed numbers for the last 24 hours.,StatisticalAnalysisAgent|SummaryAgent,16
33,Can you forecast temperature for next 24 hours and explain the trend drivers?,ForecastAgent|TrendAnalysisAgent,24
34,Please write a concise report of temperature behavior in yesterday.,ReportWriterAgent|SummaryAgent,27
35,Help me trace anomalies and then draft a brief report for today. and set an alert if it changes.,AnomalyDetectionAgent|ReportWriterAgent,17
36,Please forecast error rate for next 2 weeks and summarize risks.,ForecastAgent|SummaryAgent,18
37,Generate a report with charts for wind speed in the last 30 days and write a brief summary.,ReportWriterAgent|PlotGenerationAgent,21
38,Can you retrieve logs and summarize errors for scheduler?,LogRetrievalAgent|SummaryAgent,13
39,Help me what fields are available in the sensor_streams table?.,MetadataLookupAgent,37
40,Calculate summary stats for error rate in last week,StatisticalAnalysisAgent,41
41,for the weekly review: Trace anomalies and then draft a brief report for this month,AnomalyDetectionAgent|ReportWriterAgent,17
42,for my notes: I need you to what columns exist in the energy dataset?. and add a dashboard view.,MetadataLookupAgent,3
43,I need you to extract API data for throughput during the last 30 days.,APIDataFetchAgent|TimeSeriesQueryAgent,26
44,asap: Calculate summary stats for error rate in today,StatisticalAnalysisAgent,41
45,for the weekly review: Can you what columns exist in the weather dataset??,MetadataLookupAgent,3
46,Help me compute median and std dev for error rate over this week.,StatisticalAnalysisAgent,40
47,Help me plot error rate for the last 24 hours. and add a dashboard view.,PlotGenerationAgent,8
48,Can you extract API data for wind speed during last week?,APIDataFetchAgent|TimeSeriesQueryAgent,26
49,Can you what columns exist in the energy dataset?? and include a quick chart.,MetadataLookupAgent,3
50,for the weekly review: Can you identify the trend of wind speed over the past 24 days?,TrendAnalysisAgent,5
51,Help me forecast error rate for next week and summarize risks.,ForecastAgent|SummaryAgent,18
52,Please plot and summarize wind energy output for the last 30 days.,PlotGenerationAgent|SummaryAgent,12
53,Help me identify the trend of wind energy output over the past 48 days. and add a dashboard view.,TrendAnalysisAgent,5
54,Plot latency for this week,PlotGenerationAgent,8
55,for the weekly review: Identify the trend of temperature over the past 168 days,TrendAnalysisAgent,5
56,Can you summarize and report anomalies in wind energy output for this month?,AnomalyDetectionAgent|ReportWriterAgent|SummaryAgent,25
57,I need you to compute mean and variance for the past 48 days of error rate.,StatisticalAnalysisAgent,4
58,for the weekly review: Please compute mean and variance for the past 6 days of throughput. and set an alert if it changes.,StatisticalAnalysisAgent,4
59,I need you to predict power output for next 24 hours.,ForecastAgent,7
60,FYI: Please calculate summary stats for wind energy output in the last 3 days.,StatisticalAnalysisAgent,41
61,I need you to generate a report with charts for wind speed in the past 7 days.,ReportWriterAgent|PlotGenerationAgent,21
62,Help me get latency for today and detect trend visually.,TimeSeriesQueryAgent|PlotGenerationAgent|TrendAnalysisAgent,15
63,Please plot and analyze wind energy output for the last 30 days. and write a brief summary.,PlotGenerationAgent|StatisticalAnalysisAgent,28
64,Can you identify the trend of wind speed over the past 24 days?,TrendAnalysisAgent,5
65,I need you to run a SQL query to find throughput rows with value E500. and set an alert if it changes.,SQLQueryAgent,34
66,Please list columns and schema for the wind dataset. and include a quick chart.,MetadataLookupAgent,36
67,asap: Help me filter the wind table where power output > TX-8821. and include a quick chart.,SQLQueryAgent,35
68,for my notes: Help me get rows where customer_id equals E500.,SQLQueryAgent,1
69,Please retrieve throughput from internal data warehouse for this month. and add a dashboard view.,TimeSeriesQueryAgent,33
70,FYI: Please compute median and std dev for wind energy output over the last 3 days.,StatisticalAnalysisAgent,40
71,for the weekly review: Help me fetch throughput for last week and describe the trend.,TimeSeriesQueryAgent|TrendAnalysisAgent,14
72,Help me check if throughput has outliers in the last 3 days. and write a brief summary.,AnomalyDetectionAgent,19
73,btw: Can you retrieve wind speed from internal data warehouse for the last 24 hours?,TimeSeriesQueryAgent,33
74,Please trace anomalies and then draft a brief report for the last 3 days.,AnomalyDetectionAgent|ReportWriterAgent,17
75,asap: Can you plot and summarize power output for the last 30 days?,PlotGenerationAgent|SummaryAgent,12
76,Paginate the sensors/stream API to collect error rate records,APIDataFetchAgent,30
77,btw: Detect unusual spikes or drops in turbine RPM for this week,AnomalyDetectionAgent,6
78,for the weekly review: I need you to forecast turbine RPM for next week and summarize risks.,ForecastAgent|SummaryAgent,18
79,Please calculate summary stats for latency in the last 30 days.,StatisticalAnalysisAgent,41
80,not urgent: Help me show WARN and ERROR logs for Lambda in the last 24 hours.,LogRetrievalAgent,39
81,Please filter the system_events table where wind speed > failed.,SQLQueryAgent,35
82,Help me filter the wind table where wind energy output > E500.,SQLQueryAgent,35
83,for the weekly review: Retrieve logs and summarize errors for frontend,LogRetrievalAgent|SummaryAgent,13
84,for my notes: Can you fetch external throughput from alerts/v2 and return raw payloads?,APIDataFetchAgent,32
85,asap: Can you fetch logs for frontend with error code 1023? and draft a short report.,LogRetrievalAgent,38
86,Fetch external throughput from energy/telemetry and return raw payloads,APIDataFetchAgent,32
87,for my notes: Plot turbine RPM for yesterday,PlotGenerationAgent,8
88,Can you detect unusual spikes or drops in temperature for last week?,AnomalyDetectionAgent,6
89,Can you what fields are available in the system_events table??,MetadataLookupAgent,37
90,I need you to fetch external error rate from energy/telemetry and return raw payloads.,APIDataFetchAgent,32
91,I need you to paginate the weather/api API to collect temperature records.,APIDataFetchAgent,30
92,Fetch logs for frontend with error code A17,LogRetrievalAgent,38
93,Please what fields are available in the wind table?. and include a quick chart.,MetadataLookupAgent,37
94,I need you to calculate summary stats for power output in this month. and include a quick chart.,StatisticalAnalysisAgent,41
95,FYI: Use the sensors/stream REST API with auth to get error rate for this month,APIDataFetchAgent,31
96,for my notes: Help me write a concise report of error rate behavior in the past 7 days.,ReportWriterAgent|SummaryAgent,27
97,not urgent: Please list columns and schema for the weather dataset.,MetadataLookupAgent,36
98,for my notes: Help me plot error rate and identify its trend for this week.,PlotGenerationAgent|TrendAnalysisAgent,23
99,Help me plot turbine RPM and identify its trend for the past 7 days.,PlotGenerationAgent|TrendAnalysisAgent,23
100,Can you what fields are available in the ops_metrics table?? and set an alert if it changes.,MetadataLookupAgent,37
101,Extract API data for throughput during the last 3 days and write a brief summary.,APIDataFetchAgent|TimeSeriesQueryAgent,26
102,for my notes: Fetch wind speed data for the last 72 hours,TimeSeriesQueryAgent|APIDataFetchAgent,0
103,Run a SQL query to find error rate rows with value failed and add a dashboard view.,SQLQueryAgent,34
104,Help me summarize and report anomalies in wind speed for the past 7 days.,AnomalyDetectionAgent|ReportWriterAgent|SummaryAgent,25
105,Help me plot latency and identify its trend for the last 24 hours. and draft a short report.,PlotGenerationAgent|TrendAnalysisAgent,23
106,asap: I need you to retrieve error rate from internal data warehouse for the last 24 hours.,TimeSeriesQueryAgent,33
107,for my notes: I need you to fetch external error rate from energy/telemetry and return raw payloads.,APIDataFetchAgent,32
108,I need you to compute median and std dev for error rate over the last 24 hours.,StatisticalAnalysisAgent,40
109,Please call the weather/api endpoint to fetch throughput as JSON. and add a dashboard view.,APIDataFetchAgent,29
110,Compute median and std dev for temperature over this month,StatisticalAnalysisAgent,40
111,for the weekly review: Please summarize log patterns for API Gateway over this month.,LogRetrievalAgent|SummaryAgent,20
112,Please give me a quick sanity check on the wind energy output numbers for the past 7 days. and write a brief summary.,StatisticalAnalysisAgent|SummaryAgent,16
113,Can you fetch throughput for the last 3 days and describe the trend?,TimeSeriesQueryAgent|TrendAnalysisAgent,14
114,Please compute correlations between temperature and power output for the last 24 hours. and include a quick chart.,StatisticalAnalysisAgent,22
115,Please run a SQL query to find temperature rows with value A17.,SQLQueryAgent,34
116,I need you to retrieve logs and summarize errors for frontend.,LogRetrievalAgent|SummaryAgent,13
117,asap: Can you pull recent logs related to forecast accuracy? and add a dashboard view.,LogRetrievalAgent,2
118,FYI: Please compute correlations between wind energy output and humidity for the last 30 days.,StatisticalAnalysisAgent,22
119,Help me write a detailed report about latency spikes for the last 24 hours. and add a dashboard view.,ReportWriterAgent,10
120,Fetch logs for scheduler with error code A17,LogRetrievalAgent,38
121,not urgent: Please list columns and schema for the system_events dataset.,MetadataLookupAgent,36
122,Please what fields are available in the ops_metrics table?.,MetadataLookupAgent,37
123,Please pull recent logs related to latency spikes.,LogRetrievalAgent,2
124,not urgent: Can you identify the trend of wind energy output over the past 6 days?,TrendAnalysisAgent,5
125,Can you forecast wind energy output for next 72 hours and summarize risks?,ForecastAgent|SummaryAgent,18
126,I need you to plot and summarize wind energy output for the last 3 days. and include a quick chart.,PlotGenerationAgent|SummaryAgent,12
127,asap: Can you fetch wind speed data for the last 12 hours?,TimeSeriesQueryAgent|APIDataFetchAgent,0
128,asap: Can you summarize and report anomalies in error rate for the past 7 days?,AnomalyDetectionAgent|ReportWriterAgent|SummaryAgent,25
129,Help me fetch external power output from alerts/v2 and return raw payloads.,APIDataFetchAgent,32
130,Help me get wind energy output for the last 30 days and detect trend visually.,TimeSeriesQueryAgent|PlotGenerationAgent|TrendAnalysisAgent,15
131,btw: Summarize what happened in turbine RPM during last week,SummaryAgent,9
132,I need you to retrieve latency from internal data warehouse for the last 3 days. and set an alert if it changes.,TimeSeriesQueryAgent,33
133,Calculate summary stats for turbine RPM in today and draft a short report.,StatisticalAnalysisAgent,41
134,Help me filter the weather table where turbine RPM > TX-8821.,SQLQueryAgent,35
135,Forecast turbine RPM for next 24 hours and summarize risks,ForecastAgent|SummaryAgent,18
